;force
390,5;-7414,64675975276
391,0;-7418,440983263211
391,5;-7422,155208085189
392,0;-7422,155208085189
392,5;-7420,5569658890645
393,0;-7415,674448532174
393,5;-7413,476302751168
394,0;-7415,259130665717
394,5;-7412,588265361914
395,0;-7409,269705048943
395,5;-7405,661798830261
396,0;-7397,294663276752
396,5;-7397,294663276752
397,0;-7397,294663276752
397,5;-7387,163083345689
398,0;-7373,206227022218
398,5;-7366,679133452484
399,0;-7356,9109097577975
399,5;-7354,878215809769
400,0;-7351,386844477109
400,5;-7344,282545363072
401,0;-7341,872714740813
401,5;-7348,163347540702
402,0;-7358,656407837015
402,5;-7346,451052380348
403,0;-7335,271610840421
403,5;-7332,741435870783
404,0;-7340,960002431412
404,5;-7350,396384524582
405,0;-7354,1601323441855
405,5;-7345,834078368254
406,0;-7332,419536386212
406,5;-7332,599620013943
407,0;-7332,667151374343
407,5;-7315,3273490690735
408,0;-7309,564672981643
408,5;-7306,0192765606635
409,0;-7305,2479183552105
409,5;-7307,1359826397165
410,0;-7309,663718976895
410,5;-7304,835226708325
411,0;-7300,988940559343
411,5;-7304,835226708325
412,0;-7299,590291050623
412,5;-7297,617249804282
413,0;-7289,552879849896
413,5;-7276,922827171164
414,0;-7275,335277440436
414,5;-7283,990546798317
415,0;-7274,056683683538
415,5;-7264,845406125032
416,0;-7269,451044904285
416,5;-7264,506998974586
417,0;-7263,0625782104835
417,5;-7262,193674706676
418,0;-7253,4427359215615
418,5;-7250,92325341732
419,0;-7262,551590916793
419,5;-7253,070361074024
420,0;-7242,530793603661
420,5;-7235,800168017169
421,0;-7227,108881933742
421,5;-7231,322838822676
422,0;-7243,397821236348
422,5;-7234,1321434153
423,0;-7227,108881933742
423,5;-7230,962671567212
424,0;-7232,407842679763
424,5;-7230,397208976129
425,0;-7207,810670176882
425,5;-7231,101197434698
426,0;-7236,450720122351
426,5;-7226,543494377507
427,0;-7226,019375985961
427,5;-7213,512568039957
428,0;-7220,551211664718
428,5;-7229,89342502755
429,0;-7232,816407410181
429,5;-7222,813887412327
430,0;-7221,781032772438
430,5;-7225,1009494845275
431,0;-7234,190670594311
431,5;-7252,618939903356
432,0;-7263,5949504349655
432,5;-7240,8019907774315
433,0;-7246,969855027263
433,5;-7266,0587195668795
434,0;-7266,0587195668795
434,5;-7267,103204607726
435,0;-7257,9864709537815
435,5;-7245,779052038882
436,0;-7248,220123130214
436,5;-7257,279642714932
437,0;-7259,980723973582
437,5;-7267,472376044579
438,0;-7274,428106165736
438,5;-7261,675934276946
439,0;-7261,675934276946
439,5;-7258,506462428858
440,0;-7241,441662830104
440,5;-7240,034384314223
441,0;-7237,319623626159
441,5;-7232,725615247864
442,0;-7232,71173380156
442,5;-7240,579137288114
443,0;-7249,336454035043
443,5;-7253,628447162661
444,0;-7252,935125195892
444,5;-7247,296256602527
445,0;-7254,769727153415
445,5;-7259,3235918896935
446,0;-7250,42070754368
446,5;-7229,708839309127
447,0;-7220,992791726885
447,5;-7220,992791726885
448,0;-7225,593928415444
448,5;-7242,840687513051
449,0;-7226,90853889789
449,5;-7224,936623174221
450,0;-7230,280258512506
450,5;-7231,07072174385
451,0;-7234,080196214992
451,5;-7238,895355368816
452,0;-7231,72277454593
452,5;-7232,092133569894
453,0;-7238,37536389374
453,5;-7242,015304219278
454,0;-7239,662961832024
454,5;-7238,542980193398
455,0;-7241,742927732333
455,5;-7236,4130151127965
456,0;-7225,899695408363
456,5;-7225,193992692188
457,0;-7224,601217417569
457,5;-7220,076616270797
458,0;-7226,861266945609
458,5;-7231,194529237916
459,0;-7230,835487505125
459,5;-7235,241908771199
460,0;-7234,8401837554875
460,5;-7230,672286717492
461,0;-7232,57498279675
461,5;-7233,9657536467585
462,0;-7228,767902354224
462,5;-7232,548157839704
463,0;-7225,903822324833
463,5;-7219,073775568863
464,0;-7230,030738793696
464,5;-7241,317855336041
465,0;-7234,069114145594
465,5;-7225,796522496643
466,0;-7215,408121379173
466,5;-7210,989146206359
467,0;-7227,179356968825
467,5;-7230,273851691136
468,0;-7212,974568202106
468,5;-7212,524359132775
469,0;-7217,634232069679
469,5;-7230,395970901191
470,0;-7242,361965202663
470,5;-7237,525219101154
471,0;-7220,587603564487
471,5;-7226,900472652064
472,0;-7242,542048830394
472,5;-7243,7035882292685
473,0;-7234,205908439737
473,5;-7224,954631536994
474,0;-7221,30231046205
474,5;-7224,013694582093
475,0;-7235,602076026664
475,5;-7224,868918656487
476,0;-7221,599448447808
476,5;-7212,672928125655
477,0;-7212,672928125655
477,5;-7215,226457690765
478,0;-7213,898622316909
478,5;-7211,335807189744
479,0;-7226,630794533581
479,5;-7237,120781287205
480,0;-7238,039958137088
480,5;-7229,882169800818
481,0;-7231,56388826188
481,5;-7236,7163434732565
482,0;-7234,504316245946
482,5;-7232,354192765668
483,0;-7230,93040658391
483,5;-7229,506620402152
484,0;-7227,003082802449
484,5;-7218,004269293201
485,0;-7209,890636077192
485,5;-7219,76043097826
486,0;-7220,745176738754
486,5;-7220,745176738754
487,0;-7227,678396406445
487,5;-7225,308045656419
488,0;-7218,987110323018
488,5;-7222,116063354865
489,0;-7220,270581344836
489,5;-7209,478694778754
490,0;-7209,478694778754
490,5;-7209,478694778754
491,0;-7202,758424000856
491,5;-7217,486182548801
492,0;-7225,884313265162
492,5;-7220,5569893477705
493,0;-7203,3802913567615
493,5;-7202,698546194636
494,0;-7207,340952047884
494,5;-7199,202672771284
495,0;-7191,718509754999
495,5;-7203,416629660218
496,0;-7198,3030049810695
496,5;-7207,794912859458
497,0;-7207,124288933268
497,5;-7199,483303091166
498,0;-7191,105662659373
498,5;-7191,130424158186
499,0;-7187,3893743791605
499,5;-7184,717195965571
500,0;-7190,594675365683
500,5;-7183,532453483894
501,0;-7185,435279431153
501,5;-7192,458021440708
502,0;-7187,008760128463
502,5;-7186,979496538957
503,0;-7193,565304874815
503,5;-7187,66381432434
504,0;-7181,844862103242
504,5;-7180,928686647154
505,0;-7169,2412592073315
505,5;-7161,614717572871
506,0;-7168,944121221573
506,5;-7170,407113109785
507,0;-7163,47182998386
507,5;-7163,47182998386
508,0;-7159,764358297923
508,5;-7162,023282303289
509,0;-7166,294640848562
509,5;-7162,877554012343
510,0;-7156,117664836344
510,5;-7156,117664836344
511,0;-7159,107615818036
511,5;-7169,977351035687
512,0;-7178,229683276517
512,5;-7172,568304229684
513,0;-7165,774649373486
513,5;-7166,368925345002
514,0;-7163,082399138889
514,5;-7152,668197578601
515,0;-7149,753959641356
515,5;-7139,100324776983
516,0;-7132,99042494483
516,5;-7139,655770216269
517,0;-7142,845501472478
517,5;-7136,809886136764
518,0;-7141,037912059115
518,5;-7143,216923954676
519,0;-7136,679888267995
519,5;-7140,245544097094
520,0;-7137,274164239513
520,5;-7128,855254643029
521,0;-7129,9357564094225
521,5;-7129,003823635909
522,0;-7122,367741953975
522,5;-7128,516847492582
523,0;-7134,178976887863
523,5;-7132,1305256224105
524,0;-7133,931361899731
524,5;-7133,077090190676
525,0;-7131,2014066555785
525,5;-7131,059028037403
526,0;-7133,039947942457
526,5;-7130,86543813759
527,0;-7121,080144015689
527,5;-7121,4223029083805
528,0;-7114,89877349378
528,5;-7115,545949030942
529,0;-7122,095365467028
529,5;-7115,209417751618
530,0;-7114,122162849185
530,5;-7115,830706267294
531,0;-7120,170721695641
531,5;-7129,589095426038
532,0;-7140,173164331332
532,5;-7127,729731969703
533,0;-7125,133410898339
533,5;-7137,9494778435055
534,0;-7142,424555992653
534,5;-7144,058814914323
535,0;-7147,3273327576635
